"nb","fr"
"Dette er ikke en ADHD-test","Ce n’est pas un test de TDAH"
"Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon","Je parviens généralement à commencer des tâches ennuyeuses sans trop de friction."
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer","Je perds rarement des objets importants et je les retrouve vite lorsque cela arrive."
"Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister","On me considère généralement comme fiable lorsqu’il s’agit de rendez-vous et d’échéances."
"Jeg klarer som regel å holde fokus på én oppgave til den er fullført","Je parviens en général à rester concentré sur une seule tâche jusqu’à ce qu’elle soit terminée."
"Jeg er ikke avhengig av kaos eller siste liten for å komme i gang","Je ne dépends pas du chaos ou de la dernière minute pour réussir à démarrer."
"Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre","Je ne deviens pas si agité que je dois bouger ou interrompre les autres."
"Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer","J’oublie rarement des rendez-vous ou des messages au point que cela cause des problèmes."
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","Quand quelque chose est important, j’arrive à organiser mon temps pour lui faire une place."
"Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen","Mes pensées ne s’emballent pas si souvent que cela gêne mon quotidien."
"Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit","Je n’ai pas besoin d’une structure externe inhabituelle pour fonctionner correctement."
"Jeg blir ikke så rastløs at jeg må reise meg når det egentlig forventes at jeg sitter rolig","Je ne deviens pas si agité que je doive me lever alors qu’on attend en fait de moi que je reste assis."
"Jeg blir ikke så urolig i kroppen at jeg må tromme, vippe eller fikle for å holde ut","Je ne ressens pas une telle agitation physique que je doive taper, me balancer ou tripoter quelque chose pour tenir le coup."
"Jeg føler sjelden et sterkt behov for å gå rundt eller skifte aktivitet bare for å få ro i kroppen","Je ressens rarement un fort besoin de marcher ou de changer d’activité juste pour calmer mon corps."
"Foreløpige spørsmål om kroppslig uro. Disse tre spørsmålene brukes ikke i hovedskåren ennå.","Questions préliminaires sur l’agitation corporelle. Ces trois questions ne comptent pas encore dans le score principal."
"Kort om testen","Bref au sujet du test"
"Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut.","Ce test illustre à quoi peut ressembler l’absence de difficultés d’attention et d’autorégulation."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD.","Il n’est pas diagnostique. Il ne peut ni confirmer ni infirmer un TDAH."
"Beregn resultat","Calculer le résultat"
"Spørsmål","Questions"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Faites glisser chaque curseur pour indiquer à quel point l’énoncé vous correspond au fil du temps."
"Resultat","Résultat"
"Tolkning","Interprétation"
"Gjennomsnittsskår","Score moyen"
"Forbehold","Réserves"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn","Une évaluation clinique implique l’histoire du développement, le fonctionnement et le jugement professionnel."
"Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD","On peut avoir peu de structure ou un rythme élevé sans que cela relève du TDAH."
"Stemmer ikke","Ne correspond pas du tout"
"Litt","Un peu"
"Delvis","Partiellement"
"Ganske","Assez"
"Stemmer helt","Correspond tout à fait"
"Skift språk","Changer de langue"
"Du må svare på alle utsagn før resultatet kan beregnes","Vous devez répondre à toutes les affirmations avant que le résultat puisse être calculé."
"Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD.","Vos réponses montrent peu de caractéristiques ressemblant aux difficultés de régulation que l’on observe dans le TDAH."
"Hverdagen virker stabil og forutsigbar.","Le quotidien semble stable et prévisible."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Votre profil se situe bien dans la variation normale : quelques forces, un peu de friction, mais rien qui pointe nettement dans une direction."
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon.","Vous rapportez plusieurs traits pouvant rappeler le TDAH, mais cela peut tout aussi bien relever de la personnalité, des habitudes ou de votre situation de vie."
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Vous décrivez plusieurs domaines qui, souvent, posent des difficultés chez les personnes avec TDAH. Ce n’est toujours pas un diagnostic, mais il peut valoir la peine de demander une évaluation plus formelle si cela crée des problemer dans le quotidien."
"av 5","sur 5"
"Sendt","Envoyé"
"T-skår","T-score"
"Hva betyr T-skår?","Que signifie le score T ?"
"nb.tskår.md","fr.tskår.md"
"Om testen","À propos du test"
"Støtt arbeidet","Soutenir le travail"
"Du kan støtte videre utvikling av ADHD-appen med en frivillig donasjon via Stripe.","Vous pouvez soutenir le développement de l’application ADHD par un don volontaire via Stripe."
"Støtt ADHD-appen","Soutenir l’application ADHD"
"Frivillig støtte til videre arbeid med ADHD-appen","Soutien volontaire à la poursuite du travail sur l’application ADHD"
"Beløp i NOK","Montant en NOK"
"Doner","Faire un don"
"Du sendes til en sikker Stripe-side for betaling.","Vous serez redirigé vers une page Stripe sécurisée pour le paiement."
"Takk for støtten!","Merci pour votre soutien !"
"Donasjonen ble avbrutt.","Le don a été annulé."
"Velg minst 20 kroner.","Choisissez au moins 20 couronnes."
"Noe gikk galt ved opprettelse av betalingen:","Une erreur est survenue lors de la création du paiement :"
