nb,en
Dette er ikke en ADHD-test,This is not an ADND-test
Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon,I can usually start on boring tasks without much friction.
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer","I rarely lose important things, and if I do, I find them quickly."
Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister,I am generally seen as reliable when it comes to appointments and deadlines.
Jeg klarer som regel å holde fokus på én oppgave til den er fullført,I can usually stay focused on one task until it is completed.
Jeg er ikke avhengig av kaos eller siste liten for å komme i gang,I am not dependent on chaos or last-minute pressure to get started.
Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre,I do not become so restless that I need to move around or interrupt others.
Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer,I do not forget appointments or messages to a degree that causes problems.
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","When something is important, I am able to organise my time so it fits."
Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen,My thoughts do not run away so often that it disrupts my daily life.
Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit,I do not need unusually strong external structure to function well.
Kort om testen,Short description of the test
Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut.,This test illustrates what the absence of attention and regulation difficulties can look like.
Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD.,It is not diagnostic. It can neither confirm nor rule out ADHD.
Beregn resultat,Calculate result
Spørsmål,Questions
Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.,Move each slider to indicate how well the statement has applied to you over time.
Resultat,Result
Tolkning,Interpretation
Gjennomsnittsskår,Average score
Forbehold,Reservations
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","A clinical assessment includes developmental history, daily functioning, and professional judgement."
Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD.,People can have low structure or high pace without it being related to ADHD.
Stemmer ikke,Does not apply
Litt,A little
Delvis,Partly
Ganske,Quite a bit
Stemmer helt,Fully applies
Skift språk,Change language
Du må svare på alle utsagn før resultatet kan beregnes.,You must answer all statements before the result can be calculated.
Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD. Hverdagen virker stabil og forutsigbar.,Your answers show few traits resembling the regulation difficulties seen in ADHD. Everyday life appears stable and predictable.
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Your pattern falls well within normal variation: some strengths, some friction, but nothing pointing clearly in one direction."
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon.","You report several traits that can resemble ADHD, but these may just as well reflect personality, habits, or life circumstances."
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","You describe several areas that often create difficulties in ADHD. This is still not a diagnosis, but if these issues affect your daily life, a more formal assessment might be worthwhile."
av 5,of 5
Sendt,Sent
T-skår,T-score
Hva betyr T-skår?,What does the T-score mean?
nb.tskår.md,en.tskår.md
