nb,smh
Dette er ikke en ADHD-test,Dette ii leat ADHD-diehtaduodje
Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon,Mun divrras jáhkkán vuodjástit vuollega válmmástusarbehkuid haga stuora dikhte
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer","Mun vuolgit álo váldet vallasvuoru birra, ja gávdnat dan rievttes go dat dáhpáhuvvá"
Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister,Mun álo birget vejolašvuođain ja áššisániid gaskal
Jeg klarer som regel å holde fokus på én oppgave til den er fullført,Mun divnastan álo ovddos bargguid vuollerástegis gitta go dat leat geargan
Jeg er ikke avhengig av kaos eller siste liten for å komme i gang,Mun ii dárbbaš kaosav dahje maŋemus áiggis bargat
Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre,Mun lihkkárdus ii galggaš dan áddet ahte galggaš mannat ja báhkadit earáid
Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer,Mun ii vajálda áššiid dahje dieđuid dan vejolašvuođain ahte dat buriid birget
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","Go ášši lea dehálaš, de mun álo divnastan áiggi nu ahte dat sáhttá dahkat"
Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen,Áddet ii vuodjá mielde nu bures ahte dat fállet mu beaivvi
Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit,Mun ii dárbbaš unna olggosráhkadusa álo buriid birget
Kort om testen,Oanehaččat dieđuheapmi
Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut.,Dát diehtu čájeha movt attevuorkkávuohta ja divrrasvuohta sáhttet čájehit
Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD.,Dat ii leat diagnosa. Dat ii sáhte nanne dahje hilgut ADHD-diehtu
Beregn resultat,Rehkenastte boasttu
Spørsmål,Jearaldagat
Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.,Galgat sirdit buot sláidera čájehit movt dadjá iđit áiggi čađa
Resultat,Boahtteárvvut
Tolkning,Čilge
Gjennomsnittsskår,Oavgutvuoru
Forbehold,Árvoheapmi
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","Klinihkalaš árvoheapmi gáibida ovdáneami, doaimma ja áššesárdnii"
Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD.,Olmmoš sáhttá leat unniduvvon struktuvrrain dahje nággeduvvon haga ahte dat sáhttá leat ADHD
Stemmer ikke,Ii rievttes
Litt,Unna
Delvis,Oassi
Ganske,Buorre
Stemmer helt,Rievttes bures
Skift språk,Sirdu giella
Du må svare på alle utsagn før resultatet kan beregnes.,Don galggat vástidit buot dadjui ovdal go sáhttit rehkenastit
Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD. Hverdagen virker stabil og forutsigbar.,Dutnje vástit leat unniduvvon beassat attevuorkkávuođain mii vižžoha ADHD-dáhpáhusaid. Beaivvádat čájeha unnidit
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.",Dutnje divrrasvuohta lea álo normálas: unniid divrrasvuođaid ja unniid váikkuhusaid haga stuora dika
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon.","Don čilge unniid divrrasvuođaid mat sáhttet nanne ADHD, muhto dat sáhttá leat persovnnalašvuođain dahje beaivvi bargguid"
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Don čilge máŋga áššiid mat váikkuhit ADHD birra. Ii leat diagnosa, muhto sáhttá leat árvvoštallat jos dat váikkuha beaivválaš doaimma"
av 5,ovtta 5:s
Sendt,Sáddejuvvon
T-skår,T-poeng
Hva betyr T-skår?,Maana T-poeng daajroeh?
nb.tskår.md,smh.tskår.md
