nb,sv
Dette er ikke en ADHD-test,Detta är inte ett ADHD-test
Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon,Jag kan vanligtvis börja med tråkiga uppgifter utan särskilt mycket motstånd
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer","Jag tappar sällan bort viktiga saker, och hittar dem snabbt om det händer"
Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister,Jag uppfattas oftast som pålitlig när det gäller avtal och deadlines
Jeg klarer som regel å holde fokus på én oppgave til den er fullført,Jag kan oftast hålla fokus på en uppgift tills den är slutförd
Jeg er ikke avhengig av kaos eller siste liten for å komme i gang,Jag är inte beroende av kaos eller sista minuten för att komma igång
Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre,Jag blir inte så rastlös att jag måste röra på mig eller avbryta andra
Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer,Jag glömmer inte möten eller meddelanden i en grad som skapar problem
"Når noe er viktig, klarer jeg å organisere tiden så det får plass",När något är viktigt kan jag organisera min tid så att det får plats
Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen,Mina tankar rusar inte så ofta att det hindrar mig i vardagen
Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit,Jag behöver inte ovanligt mycket yttre struktur för att fungera bra
Kort om testen,Kort om testet
Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut,Detta test visar hur frånvaro av uppmärksamhets- och regleringssvårigheter kan se ut
Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD,Den är inte diagnostisk. Den kan varken bekräfta eller utesluta ADHD
Beregn resultat,Beräkna resultat
Spørsmål,Frågor
Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid,Dra i varje reglage för att ange hur väl påståendet har stämt för dig över tid
Resultat,Resultat
Tolkning,Tolkning
Gjennomsnittsskår,Genomsnittspoäng
Forbehold,Förbehåll
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn","En klinisk bedömning innefattar utvecklingshistoria, funktion och professionellt omdöme"
Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD,Människor kan ha låg struktur eller högt tempo utan att det handlar om ADHD
Stemmer ikke,Stämmer inte alls
Litt,Lite grann
Delvis,Delvis
Ganske,Ganska
Stemmer helt,Stämmer helt
Skift språk,Byt språk
Du må svare på alle utsagn før resultatet kan beregnes,Du måste besvara alla påståenden innan resultatet kan beräknas
Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD,Dina svar visar få drag som liknar de regleringssvårigheter man ser vid ADHD.
Hverdagen virker stabil og forutsigbar,Vardagen verkar stabil och förutsägbar
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning","Ditt mönster ligger väl inom normal variation: vissa styrkor, lite friktion, men inget som tydligt pekar åt ett håll"
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon","Du rapporterar vissa drag som kan påminna om ADHD, men detta kan lika gärna handla om personlighet, vanor eller livssituation"
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen","Du beskriver flera områden som ofta innebär svårigheter vid ADHD. Detta är fortfarande inte diagnostik, men det kan vara värt en mer formell bedömning om detta skapar problem i vardagen"
av 5,av 5
Sendt,Skickat
T-skår,T-poäng
Hva betyr T-skår?,Vad betyder T-poäng?
nb.tskår.md,sv.tskår.md
